run_id,entity_id,amenity
80c248dd5eb3,1262a571d0d2899a3171d41d,Nhà hàng - Ẩm thực
80c248dd5eb3,1262a571d0d2899a3171d41d,Phòng tập thể dục
80c248dd5eb3,1262a571d0d2899a3171d41d,Quán Bar
80c248dd5eb3,1262a571d0d2899a3171d41d,Quán café
80c248dd5eb3,1262a571d0d2899a3171d41d,Quầy Billard
80c248dd5eb3,1262a571d0d2899a3171d41d,Spa/Massage
80c248dd5eb3,1262a571d0d2899a3171d41d,Thang máy
80c248dd5eb3,142b0d7e225d10057abc8dd4,Bãi biển riêng
80c248dd5eb3,142b0d7e225d10057abc8dd4,Bể bơi trong nhà
80c248dd5eb3,142b0d7e225d10057abc8dd4,Wifi miễn phí
80c248dd5eb3,142b0d7e225d10057abc8dd4,Ăn sáng miễn phí
80c248dd5eb3,142b0d7e225d10057abc8dd4,Cho thuê xe
80c248dd5eb3,142b0d7e225d10057abc8dd4,Chỗ đỗ xe
80c248dd5eb3,142b0d7e225d10057abc8dd4,Dịch vụ hội họp
80c248dd5eb3,142b0d7e225d10057abc8dd4,Giặt là quần áo
80c248dd5eb3,142b0d7e225d10057abc8dd4,Khu vực vui chơi trẻ em
80c248dd5eb3,142b0d7e225d10057abc8dd4,Nhà hàng - Ẩm thực
80c248dd5eb3,142b0d7e225d10057abc8dd4,Phòng tập thể dục
80c248dd5eb3,142b0d7e225d10057abc8dd4,Quán Bar
80c248dd5eb3,142b0d7e225d10057abc8dd4,Quán café
80c248dd5eb3,142b0d7e225d10057abc8dd4,Quầy đặt tour du lịch
80c248dd5eb3,142b0d7e225d10057abc8dd4,Spa/Massage
80c248dd5eb3,142b0d7e225d10057abc8dd4,Thang máy
80c248dd5eb3,142b0d7e225d10057abc8dd4,Đưa đón Sân bay
80c248dd5eb3,145fb933340479688b1adfab,Bể bơi ngoài trời
80c248dd5eb3,145fb933340479688b1adfab,Bể bơi trong nhà
80c248dd5eb3,145fb933340479688b1adfab,Wifi miễn phí
80c248dd5eb3,145fb933340479688b1adfab,Ăn sáng miễn phí
80c248dd5eb3,145fb933340479688b1adfab,Dịch vụ hội họp
80c248dd5eb3,145fb933340479688b1adfab,Khu vực vui chơi trẻ em
80c248dd5eb3,145fb933340479688b1adfab,Nhà hàng - Ẩm thực
80c248dd5eb3,145fb933340479688b1adfab,Phòng tập thể dục
80c248dd5eb3,145fb933340479688b1adfab,Quán café
80c248dd5eb3,145fb933340479688b1adfab,Sân golf
80c248dd5eb3,145fb933340479688b1adfab,Spa/Massage
80c248dd5eb3,145fb933340479688b1adfab,Thang máy
80c248dd5eb3,15a8ba2773bebca5268cc473,Bể bơi trong nhà
80c248dd5eb3,15a8ba2773bebca5268cc473,Wifi miễn phí
80c248dd5eb3,15a8ba2773bebca5268cc473,Ăn sáng miễn phí
80c248dd5eb3,15a8ba2773bebca5268cc473,Chỗ đỗ xe
80c248dd5eb3,15a8ba2773bebca5268cc473,Dịch vụ hội họp
80c248dd5eb3,15a8ba2773bebca5268cc473,Giặt là quần áo
80c248dd5eb3,15a8ba2773bebca5268cc473,Nhà hàng - Ẩm thực
80c248dd5eb3,15a8ba2773bebca5268cc473,Phòng tập thể dục
80c248dd5eb3,15a8ba2773bebca5268cc473,Quán Bar
80c248dd5eb3,15a8ba2773bebca5268cc473,Quán café
80c248dd5eb3,15a8ba2773bebca5268cc473,Spa/Massage
80c248dd5eb3,15a8ba2773bebca5268cc473,Thang máy
80c248dd5eb3,17fd0937cd2828e8333629f8,Bãi biển riêng
80c248dd5eb3,17fd0937cd2828e8333629f8,Bể bơi ngoài trời
80c248dd5eb3,17fd0937cd2828e8333629f8,Wifi miễn phí
80c248dd5eb3,17fd0937cd2828e8333629f8,Ăn sáng miễn phí
80c248dd5eb3,17fd0937cd2828e8333629f8,Chỗ đỗ xe
80c248dd5eb3,17fd0937cd2828e8333629f8,Dịch vụ hội họp
80c248dd5eb3,17fd0937cd2828e8333629f8,Giặt là quần áo
80c248dd5eb3,17fd0937cd2828e8333629f8,Karaoke
80c248dd5eb3,17fd0937cd2828e8333629f8,Nhà hàng - Ẩm thực
80c248dd5eb3,17fd0937cd2828e8333629f8,Phòng tập thể dục
80c248dd5eb3,17fd0937cd2828e8333629f8,Quán Bar
80c248dd5eb3,17fd0937cd2828e8333629f8,Quán café
80c248dd5eb3,17fd0937cd2828e8333629f8,Quầy đặt tour du lịch
80c248dd5eb3,17fd0937cd2828e8333629f8,Spa/Massage
80c248dd5eb3,17fd0937cd2828e8333629f8,Thang máy
80c248dd5eb3,17fd0937cd2828e8333629f8,Đưa đón Sân bay
80c248dd5eb3,18b5501f9d64a42aa179f51f,Bể bơi ngoài trời
80c248dd5eb3,18b5501f9d64a42aa179f51f,Wifi miễn phí
80c248dd5eb3,18b5501f9d64a42aa179f51f,Chỗ đỗ xe
80c248dd5eb3,18b5501f9d64a42aa179f51f,Dịch vụ hội họp
80c248dd5eb3,18b5501f9d64a42aa179f51f,Giặt là quần áo
80c248dd5eb3,18b5501f9d64a42aa179f51f,Karaoke
80c248dd5eb3,18b5501f9d64a42aa179f51f,Khu vực vui chơi trẻ em
80c248dd5eb3,18b5501f9d64a42aa179f51f,Nhà hàng - Ẩm thực
80c248dd5eb3,18b5501f9d64a42aa179f51f,Quán café
80c248dd5eb3,18b5501f9d64a42aa179f51f,Sân tennis
80c248dd5eb3,18b5501f9d64a42aa179f51f,Spa/Massage
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Bể bơi ngoài trời
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Wifi miễn phí
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Ăn sáng miễn phí
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Cho thuê xe
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Chỗ đỗ xe
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Dịch vụ hội họp
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Giặt là quần áo
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Nhà hàng - Ẩm thực
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Phòng tập thể dục
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Quán Bar
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Quầy Billard
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Quầy đặt tour du lịch
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Sân tennis
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Spa/Massage
80c248dd5eb3,18e4e1658bfccb4afd440fc1,Đưa đón Sân bay
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Bể bơi ngoài trời
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Wifi miễn phí
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Ăn sáng miễn phí
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Cho thuê xe
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Chỗ đỗ xe
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Giặt là quần áo
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Karaoke
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Nhà hàng - Ẩm thực
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Phòng tập thể dục
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Quán Bar
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Quán café
80c248dd5eb3,1e2c08f5ab532bc6ed9258ff,Spa/Massage
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Bể bơi ngoài trời
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Wifi miễn phí
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Ăn sáng miễn phí
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Bàn làm việc
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Bồn tắm và vòi sen
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Cho thuê xe
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Chỗ đỗ xe
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Dịch vụ hội họp
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Giặt là quần áo
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Karaoke
80c248dd5eb3,1f4b1fec430382d1eb4e359c,Khu vực vui chơi trẻ em
