route_id,origin_city,origin_code,dest_city,dest_code,departure_date,cabin_class,total_flights,min_price_vnd,max_price_vnd,avg_price_vnd,airlines_count,airlines_list,fastest_duration
HAN_DAD_Business_20260918,Hanoi,HAN,Da Nang,DAD,2026-09-18,Business,15,3278620,10038184,5110633,2,"Sun PhuQuoc Airways, Vietnam Airlines",1h 30m
HAN_CXR_Economy_20260918,Hanoi,HAN,Nha Trang,CXR,2026-09-18,Economy,20,957622,4069649,2788669,4,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines, Vietravel Airlines",1h 50m
HAN_CXR_Business_20260918,Hanoi,HAN,Nha Trang,CXR,2026-09-18,Business,3,6703739,9907544,8560296,2,"Sun PhuQuoc Airways, Vietnam Airlines",2h 0m
HAN_DLI_Economy_20260918,Hanoi,HAN,Dalat,DLI,2026-09-18,Economy,16,941152,8206221,4357055,3,"VietJet Air, Vietnam Airlines, Vietravel Airlines",1h 45m
HAN_DLI_PremiumEconomy_20260918,Hanoi,HAN,Dalat,DLI,2026-09-18,PremiumEconomy,5,2596168,6082371,3452830,1,VietJet Air,1h 50m
HAN_DLI_Business_20260918,Hanoi,HAN,Dalat,DLI,2026-09-18,Business,1,5375906,5375906,5375906,1,Vietnam Airlines,1h 55m
HAN_PQC_Economy_20260918,Hanoi,HAN,Phu Quoc Island,PQC,2026-09-18,Economy,20,673989,4435296,2521327,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",2h 5m
HAN_PQC_PremiumEconomy_20260918,Hanoi,HAN,Phu Quoc Island,PQC,2026-09-18,PremiumEconomy,6,2596168,13707516,5742978,2,"VietJet Air, Sun PhuQuoc Airways",2h 5m
HAN_PQC_Business_20260918,Hanoi,HAN,Phu Quoc Island,PQC,2026-09-18,Business,9,5537583,12047021,7575434,2,"Sun PhuQuoc Airways, Vietnam Airlines",2h 5m
HAN_HUI_Economy_20260918,Hanoi,HAN,Hue,HUI,2026-09-18,Economy,20,1063453,8992454,6086995,2,"VietJet Air, Vietnam Airlines",1h 20m
HAN_HUI_PremiumEconomy_20260918,Hanoi,HAN,Hue,HUI,2026-09-18,PremiumEconomy,1,4999288,4999288,4999288,1,VietJet Air,1h 15m
HAN_HUI_Business_20260918,Hanoi,HAN,Hue,HUI,2026-09-18,Business,3,3265063,3998967,3517457,1,Vietnam Airlines,1h 20m
