property_id,overall_score,review_count,score_cleanliness,score_facilities,score_location,score_staff,score_value_for_money,count_exceptional,count_excellent,count_very_good,count_good,count_below_expectation,sample_customer_reviews
230121,8.6,199,8.7,8.5,9.4,8.9,8.9,112,14,17,3,16,"[10.0/10] Michael: ""What truly made the stay exceptional was the staff."" || [10.0/10] Nikita: ""The room is good, clean, the staff is really accommodative."" || [10.0/10] B Prem: ""All the major tourist places are just walkable distance"" || [10.0/10] Mohammad: ""Always book their VIP room as it is really a VIP experience."" || [8.0/10] Hardeep: ""Can't get better than this hotel...in this price"" || [10.0/10] Abdulla: ""Very nice Staff and the Hotel is very nice too."" || [9.6/10] LEOW: ""Good Location with many good food, massage, mall beside."" || [10.0/10] janette: ""All the tourist spots are just short walking distance."" || [10.0/10] aditya: ""The staff is very co-operative and helpful."" || [10.0/10] Riko: ""The room is clean and basic necessities is available."""
37844344,8.8,2948,9.1,8.4,9.2,9.3,8.9,1434,525,125,99,68,"[9.6/10] Mel: ""I informed the front desk, and they responded immediately."" || [10.0/10] Ilzymanshah: ""The housekeeping staff was also always polite and amazing."" || [8.0/10] Steve: ""Especially Mr. Nam, who went above and beyond his duties."" || [10.0/10] Ming Li: ""The hotel room was very tastefully designed and clean."" || [9.6/10] Marie: ""The price was super cheap for a new hotel with a great room!"" || [9.6/10] Noboru: ""The rooms here are clean, and you can enjoy a relaxing stay."" || [10.0/10] Isabelle: ""Facilities were clean and would highly recommend!"" || [8.4/10] Fashila: ""The location is great, most places are in walking distance."" || [10.0/10] TRINH: ""The staff was incredibly welcoming and helpful."" || [9.6/10] evelyn: ""Great hotel, friendly staff and nice room for the price."""
545120,7.6,3954,7.2,6.9,8.8,7.7,7.6,990,815,390,470,562,"[10.0/10] Joe: ""Excellent location and in the center of everything."" || [9.6/10] Trang: ""Our room has great view of other high building and the river"" || [8.0/10] Satnam: ""Prime and convenient location in the heart of District 1."" || [10.0/10] Albert: ""Value for money in terms of price and location."" || [10.0/10] Jemima: ""We have a delicious breakfast buffet throughout our stay."" || [9.2/10] Leai: ""Close to many interesting places, restaurants and shops."" || [9.6/10] Sean Saniel: ""Will definitely book here again if I go back to Vietnam"" || [10.0/10] Richard Yong Zhong: ""The staffs were polite and I will recommend this hotel."" || [9.6/10] Albert: ""Asian Ruby is one of my favorite hotels in District 1."" || [8.4/10] Hong Minh: ""Location is perfect for discovery city center points."""
17522772,9.2,4576,9.5,9.1,9.4,9.6,9.3,1845,361,83,44,38,"[9.6/10] Roxanne: ""The beds are also comfy and the staff are amazingly helpful."" || [10.0/10] Nicolas: ""Location was also great could walk to a lot of places."" || [10.0/10] Falentino: ""One of the best hotels during my solo travel in Vietnam"" || [10.0/10] Thanh Ngoc: ""Everything is convenient, clean, quiet and enjoyable."" || [10.0/10] Aldrin: ""Place is so clean and cozy, near everything you need"" || [10.0/10] Marcela: ""The staff went above and beyond."" || [10.0/10] Paul: ""The property exceeded my expectations in every way."" || [10.0/10] Junaid: ""It has Everything you could want for a city break in Saigon."" || [10.0/10] Tina: ""Would definitely stay here again when I come back to Saigon."" || [10.0/10] Hannah: ""The dormitory room was way beyond my expectations!"""
35540459,8.9,218,9.0,8.8,9.3,9.2,9.1,140,39,5,3,10,"[10.0/10] Amelia : ""But what really stood out was the exceptional service."" || [9.2/10] Björn: ""ඉතා හොඳ ස්ථානයක්, මිත්‍රශීලී කාර්ය මණ්ඩලය සහ පිරිසිදු කාමර."" || [10.0/10] Dai: ""Amazing location in district 1, next to Ben Thanh market."" || [10.0/10] Vincent: ""Our room was clean and had everything we needed."" || [9.6/10] Aylin: ""İşçilər mehriban və kömək etməyə hazır idilər."" || [9.6/10] Matías : ""Everything was clean, comfortable, and convenient."" || [10.0/10] Service: ""The room was fully equipped and bathroom was quite spacious."" || [10.0/10] Nguyen: ""Lovely hotel, helpful staff, great location, nice breakfast."" || [9.6/10] Vấn: ""The staff was helpful, and the room was cozy and modern."" || [10.0/10] Levin: ""Clean room, comfortable bed, and good value for money."""
74057351,9.1,1123,9.4,8.9,9.4,9.5,9.2,639,100,33,21,23,"[10.0/10] Alfonso: ""Love this place I will absolutely come back here again soon."" || [9.6/10] Hsin: ""There is free laundry in hotel which is great for long stay."" || [10.0/10] Bouy: ""The room was clean, comfortable, and well maintained."" || [10.0/10] Billy: ""Thank you Signature hotel for making our stay unforgettable!"" || [10.0/10] Julia Ha Vy: ""And overall the layout and amenities are amazing."" || [10.0/10] Jamie: ""Great room and ammenities along with very supportive staff."" || [8.4/10] Lynn: ""Highly recommend it to anyone visiting the area."" || [9.6/10] Moritz: ""Would definitely come back for this value for money Hotel!"" || [10.0/10] Seongjin: ""I want to re-visit whenever I come to Ho Chi Minh for sure"" || [10.0/10] Mindy: ""I would definitely book this place again when I visit HCM."""
245858,8.4,483,8.6,8.3,9.0,8.8,8.6,232,62,28,29,32,"[10.0/10] Chi Ho: ""The location was convenient and made it easy to get around."" || [8.8/10] Bui: ""The restaurant is a delight with the most wonderful staff."" || [10.0/10] Liam : ""Honestly it was one of the most fantastic hotel I've gone"" || [10.0/10] Bernadette: ""The room was spacious, clean, and very comfortable."" || [8.8/10] Ryan: ""Bilik bersih, selesa dan lokasi sangat mudah untuk bergerak."" || [9.6/10] Ryan: ""အခန်းတွေက ကျယ်ဝန်းပြီး ပေးရတဲ့စျေးနှုန်းနဲ့ဆို တကယ်တန်ပါတယ်။"" || [10.0/10] Hoàng: ""The room was spacious, clean, and beautifully decorated."" || [9.2/10] Executive: ""One of the highlights is the daily breakfast."" || [8.8/10] Lena: ""The front desk staffs were friendly and supportive."" || [10.0/10] Minh: ""I will definitely choose Kass again on my next visit to HCMC"""
30670517,8.9,2655,9.0,9.0,8.9,9.3,9.3,1398,398,100,74,72,"[10.0/10] Annina: ""It’s a long time ago since we had such a great apartment."" || [7.2/10] plant: ""The staff are friendly and it's quiet so it's nice to stay"" || [9.2/10] Wong: ""Our room was, as always, impeccably clean and comfortable."" || [10.0/10] Diep: ""The check in and out process alone is so quick and smooth."" || [10.0/10] Kim Khánh: ""The room was clean, comfortable, and had a beautiful view."" || [8.8/10] Janina: ""We liked how big the room was and how cute the bathroom was."" || [10.0/10] Liliya: ""Everything was great, all my requests were resolved quickly)"" || [10.0/10] Kim: ""My 3yr old daughter and I had a lovely night at this hotel."" || [8.0/10] Jakob Georg: ""This hotel was a wonderful place to start our Vietnam trip."" || [10.0/10] Coleen ysabel: ""They also let me checkin an hour early without any charge,"""
87898903,7.8,135,7.9,7.5,8.4,8.4,7.9,44,17,8,10,14,"[10.0/10] Fairy: ""I am very satisfied with my stay at Pink Suite Hotel."" || [10.0/10] Simon Kwang: ""The hotel room is big and clean."" || [10.0/10] Patnari: ""Very good hotel & Staff is very nice"" || [10.0/10] Tôn: ""Good service, friendly staffs and nice rate"" || [10.0/10] Arnold: ""Definitely recommend the place."" || [10.0/10] Nina : ""Very clean and very friendly"" || [9.6/10] Emily : ""This place is great"" || [7.2/10] Thanh van: ""I would stay again"" || [7.2/10] Phan Thanh Hieu: ""Good location"""
87475901,9.2,89,9.7,9.4,9.4,9.4,9.6,61,13,0,0,3,"[10.0/10] Summer: ""I felt so relaxed there and the staff was so kind."" || [8.8/10] thuc trinh: ""Good for it's money value"" || [9.6/10] Bjorn: ""Then come back and watch the sunset at the roof top pool."" || [8.8/10] Rachel: ""Perfect location for one night near airport."" || [9.6/10] Mellisa: ""The service was 5 ⭐⭐⭐⭐⭐ it was fantastic!!"" || [9.2/10] John: ""I enjoyed the gym & swimming on the top floor 6."" || [10.0/10] Old: ""Best value for your money!"" || [10.0/10] Nguyen: ""Excellent value for money."" || [10.0/10] Vinh: ""New and clean rooms."" || [10.0/10] Libbie: ""Rooms clean &Comfortable & good location"""
