property_id,hotel_name,default_name,property_type,accommodation_type,stars,is_luxury,address_line,area_name,area_id,city_name,city_id,country_name,postal_code,latitude,longitude,year_opened,number_of_rooms,number_of_floors,check_in_from,check_out_until,breakfast_charge,airport_transfer_fee,gold_circle_award_year,today_booking,booking_count_last_24h,recommendation_score,main_image_url
90025419,Hoi An Moon Premium Boutique Hotel and Spa,Hoi An Moon Premium Boutique Hotel and Spa,Hotel,Hotel,5.0,True,242 Nguyen Duy Hieu ,Son Phong,57587,Hoi An,16552,Vietnam,51000,15.881267,108.32743,2026,80,7,14:00,12:00,,,,Booked 3 times today,,,https://pix8.agoda.net/hotelImages/90025419/0/20080360eeadcf31817fbf92f83cb455.jpg?ce=3&s=1024x768
44777877,Grand Sunrise Palace Hoi An,Grand Sunrise Palace Hoi An,Hotel,Hotel,5.0,True,"320  Cua Dai Street, Cam Chau, Hoi An City",Cam Chau,502697,Hoi An,16552,Vietnam,51000,15.885579109191895,108.35022735595703,2023,85,7,15:00,12:00,350000 VND,450000 VND,2025,Booked 9 times today,,,https://pix8.agoda.net/hotelImages/44777877/0/81ce6608f2bec362ec9d2ef37473d1a9.png?ce=3&s=1024x768
2090182,La Siesta Hoi An Resort & Spa,La Siesta Hoi An Resort & Spa,Hotel,Resort,5.0,True,132 Hung Vuong,Thanh Ha,57586,Hoi An,16552,Vietnam,56000,15.8799668228239,108.316247463226,2013,137,6,15:00,12:00,0 VND,485000 VND,2024,Booked 3 times today,,,https://pix8.agoda.net/hotelImages/2090182/535778142/572ba66b6b3fe52d4e93332db2a93466.jpg?ce=0&s=1024x768
91933144,Faifo Boutique Hotel & Spa,Faifo Boutique Hotel & Spa,Hotel,Hotel,5.0,False,"89 Cửa Đại, Hội An Đông",Cam Chau,502697,Hoi An,16552,Vietnam,560000,15.892835,108.36113,2022,51,4,14:00,12:00,300000 VND,400000 VND,,Booked 4 times today,,,https://pix8.agoda.net/hotelImages/91933144/0/543147779fe3eba613bdea22f20667ba.png?ce=3&s=1024x768
79118577,Dolphins Hostel - Riverside Hoi An,Dolphins Hostel - Riverside Hoi An,Hotel,Hotel,3.0,False,"7 Thoại Ngọc Hầu, Phường Minh An",Minh An,57588,Hoi An,16552,Vietnam,540000,15.87589,108.32247,,18,,14:00,11:00,,,,,,,https://pix8.agoda.net/hotelImages/79118577/0/5e8ce4f21b9f36f26387cff309f44338.jpg?ce=2&s=1024x768
568331,Under The Coconut Tree Hoi An Homestay,Under The Coconut Tree Hoi An Homestay,NonHotel,Homestay,4.0,False,"Hamlet 7, An Bang, Cam An",Cam An,502696,Hoi An,16552,Vietnam,560000,15.913033485412598,108.33909606933594,,4,,14:00,12:00,75000 VND,,,Booked twice today,,,https://pix8.agoda.net/hotelImages/568331/0/7181a80bc5acbffdc705b3546b0fd6d1.jpeg?s=1024x768
74626874,Fuse Old Town Hoi An,Fuse Old Town Hoi An,Hotel,Hostel,3.0,False,126 Nguyen Truong To,Son Phong,57587,Hoi An,16552,Vietnam,,15.881629943847656,108.32910919189453,,1,,,,,,,,,,https://pix8.agoda.net/hotelImages/74626874/0/b01dc6600c372dad2d01a3cf63d22d42.jpeg?ce=2&s=1024x768
1070265,"Grand Signature Resort Hoi An by M Village, a brand of Modern Village Lifestyle","Grand Signature Resort Hoi An by M Village, a brand of Modern Village Lifestyle",Hotel,Resort,5.0,True,"No 28 Nguyen Tat Thanh, Hoi An Tay Ward, Da Nang City",Cam Ha,28347,Hoi An,16552,Vietnam,51000,15.88953685760498,108.32050323486328,2026,172,6,15:00,12:00,,,,Booked 8 times today,,,https://pix8.agoda.net/hotelImages/1070265/0/e7c89c0f3ccc5b476bb1e887e0f28a1a.jpg?ce=3&s=1024x768
50513384,Sen Village Hoi An,Sen Village Hoi An,Hotel,Hotel,5.0,True,"488  Cua Dai Street, Cam Chau Ward",Cam Chau,502697,Hoi An,16552,Vietnam,510000,15.8805872709755,108.340853237285,2025,94,3,15:00,12:00,,450000 VND,,Booked 8 times today,,,https://pix8.agoda.net/hotelImages/50513384/0/c2ac452335f4011c09a73e32ec3123df.jpg?ce=2&s=1024x768
39553445,Southern Hotel,Southern Hotel,Hotel,Hotel,3.0,False,"10 Dao Duy Tu, Cam Pho, Hoi An",Cẩm Phô,57585,Hoi An,16552,Vietnam,51000,15.8772027,108.3224585,2023,1,3,14:00,12:00,,290000 VND,,Booked 3 times today,,,https://pix8.agoda.net/hotelImages/39553445/0/ebff8999d6a271ebac313e75f7c14024.jpg?ce=3&s=1024x768
14498722,Okra Hoian Homestay,Okra Hoian Homestay,NonHotel,Homestay,4.5,False,14 Thích Quảng Đức,Cam Ha,28347,Hoi An,16552,Vietnam,560000,15.890687942504883,108.32855987548828,2020,4,2,14:00,12:00,,,,,,,https://pix8.agoda.net/hotelImages/14498722/-1/70000872d7d23bbac83b62fadf7099c3.jpg?ce=0&s=1024x768
77187803,L’Heritage Riverside Hoi An,L’Heritage Riverside Hoi An,Hotel,Hotel,4.0,False,54 Huyen Tran Cong Chua,Cam Chau,502697,Hoi An,16552,Vietnam,56000,15.8756139,108.3450969,2025,30,3,14:00,12:00,,400000 VND,,Booked 4 times today,,,https://pix8.agoda.net/hotelImages/77187803/0/4910330e0a9dd8c72fa3a16b970f7067.jpg?ce=3&s=1024x768
56224814,Reu Boutique Hotel,Reu Boutique Hotel,Hotel,Hotel,4.0,False,128/09 Ly Thai To Str,Cam Chau,502697,Hoi An,16552,Vietnam,51300,15.887673377990723,108.33541107177734,2024,60,7,14:00,12:00,,,,Booked 8 times today,,,https://pix8.agoda.net/hotelImages/56224814/-1/584ae8352d82c1c02d76959a3788cb3f.jpg?ce=0&s=1024x768
1985131,Hoi An Canal House Riverside a Salve by Haviland,Hoi An Canal House Riverside a Salve by Haviland,Hotel,Hotel,3.0,False,30 Nguyen Du,Cẩm Phô,57585,Hoi An,16552,Vietnam,51300,15.876383781433105,108.32067108154297,,25,,14:00,12:00,,450000 VND,,Booked twice today,,,https://pix8.agoda.net/hotelImages/198/1985131/1985131_17081507350055386674.jpg?ca=6&ce=1&s=1024x768
79080981,Smart Garden Homestay,Smart Garden Homestay,NonHotel,Homestay,4.5,False,"99/2 H ng Vương, Phường Cẩm Phổ Smart Garden Homestay",Cẩm Phô,57585,Hoi An,16552,Vietnam,51300,15.879753112792969,108.31906127929688,2019,5,2,13:00,11:00,110000 VND,350000 VND,,,,,https://pix8.agoda.net/hotelImages/79080981/0/323a20b6b0d48e554cb57e21061543a5.jpg?ce=3&s=1024x768
65269016,Ancient Town Hotel,Ancient Town Hotel,Hotel,Hotel,4.0,False,"No. 131, Tran Hung Dao, Minh An Ward",Cẩm Phô,57585,Hoi An,16552,Vietnam,560048,15.879949569702148,108.32526397705078,2019,50,3,14:00,12:00,,350000 VND,,Booked 5 times today,,,https://pix8.agoda.net/hotelImages/65269016/0/0cb3fc1c1b91dba7d3ad3cacc68b07a5.jpg?ce=2&s=1024x768
75864419,Dom Hostel Old Town Hoi An,Dom Hostel Old Town Hoi An,NonHotel,Homestay,3.5,False,Thái Phiên,Son Phong,57587,Hoi An,16552,Vietnam,560000,15.882051467895508,108.3274154663086,,1,,,,,,,Booked twice today,,,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/749244157.jpg?k=9af3979af822d0edce6844c88b49cf3f7572cab7387ad34805f84d038fe2aff6&o=
35957889,Mad Monkey Hoi An,Mad Monkey Hoi An,Hotel,Hostel,0.0,False,250 Cửa Đại,Cam Chau,502697,Hoi An,16552,Vietnam,,15.889047622680664,108.35345458984375,,226,,14:00,11:00,,,,Booked once today,,,https://pix8.agoda.net/hotelImages/35957889/0/f2478daa30845d611dd2bd9238b4702e.jpg?ce=2&s=1024x768
87071376,Unity Villa - Staycation,Unity Villa - Staycation,Hotel,Hotel,4.0,False,"Lý Thường Kiệt, Hội An",Son Phong,57587,Hoi An,16552,Vietnam,,15.882313,108.334564,2026,1,,14:00,11:00,,,,Booked 4 times today,,,https://pix8.agoda.net/hotelImages/87071376/0/f177ea7a36e0e94a45b73017670f4dbc.png?ce=3&s=1024x768
1803429,Wyndham Garden Hoi An Cua Dai Beach,Wyndham Garden Hoi An Cua Dai Beach,Hotel,Hotel,5.0,True,19 Lac Long Quan Street Cua Dai Beach,Cửa Đại,34249,Hoi An,16552,Vietnam,560000,15.898618698120117,108.36129760742188,,107,6,14:00,12:00,625000 VND,500000 VND,,Booked twice today,,,https://pix8.agoda.net/hotelImages/1803429/0/384b65b3cb999056d709fcd7bcfd8b96.png?ce=3&s=1024x768
16296813,Sam Sam Homestay Hoi An,Sam Sam Homestay Hoi An,NonHotel,Homestay,3.0,False,"25/16 duong 18/8, phuong Cam Pho",Cẩm Phô,57585,Hoi An,16552,Vietnam,560000,15.877385139465332,108.3214340209961,,9,3,13:00,11:00,,,,,,,https://pix8.agoda.net/hotelImages/16296813/-1/391525e8bd68c662e8299d8534bf93b8.jpg?ce=0&s=1024x768
66371126,Nesta Hoian Resort & Spa ,Nesta Hoian Resort & Spa ,Hotel,Resort,5.0,True,87 Cua Dai,Cam Chau,502697,Hoi An,16552,Vietnam,51300,15.893041179838109,108.3615200317383,2025,85,4,14:00,12:00,,400000 VND,,Booked 8 times today,,,https://pix8.agoda.net/hotelImages/66371126/0/0e81d05365319d174971cf675945c4bd.jpg?ce=3&s=1024x768
