property_id,name,stars,accommodation_type,property_type,city,area,average_price_vnd,review_score,review_count,recommendation_score,customer_reviews,facilities,hotel_url,image_url
34198470,LA VELA HUE HOTEL,5.0,34,Hotel,Hue,Hue City,1983832,9.1,4090,90,"[10.0/10] Hoa (Vietnam, Couple): ""Overall, our stay at this 5-star hotel was simply perfect."" || [10.0/10] Hoa (Vietnam, Couple): ""One absolute highlight of the hotel was the rooftop pool."" || [9.6/10] miae (Việt Nam, Couple): ""The breakfast is delicious and there are lots of choices""",Free Wi-Fi ; Pool with view; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants; Bar,https://www.agoda.com/la-vela-hue-hotel/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/34198470/0/b5e110271aaa5267e0c486d33e618361.jpg?ce=2
78424913,Hue Imperial Hostel,2.0,34,Hotel,Hue,Hue City,365798,9.2,522,94,"[10.0/10] Yesica (Mexico, Couple): ""The room was spotless, and everything was well maintained."" || [10.0/10] Harry (Vietnam, Solo traveler): ""The rooms where all clean and the beds where spot on."" || [10.0/10] Natalí (Argentina, Solo traveler): ""I had a private room, everything was perfect, clean.""",Free Wi-Fi ; Car park; Front desk [24-hour]; Airport transfer; Family room; Shared kitchen; Luggage storage; Balcony/terrace,https://www.agoda.com/hue-imperial-hostel/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/78424913/0/a969c401f1c55543dea69d87f693b48a.jpg?ce=3
237273,Mondial Hotel Hue,4.0,34,Hotel,Hue,Hue City,1258910,8.6,2775,90,"[10.0/10] THAT HOA (Vietnam, Solo traveler): ""The rooms are modern, clean, and the staff is very friendly."" || [10.0/10] jeruel (Philippines, Group): ""We love our room, clean, and the bed is the best."" || [10.0/10] LEE MARK (Philippines, Solo traveler): ""Will patronize this hotel every time I will stay in Hue.""",Free Wi-Fi ; Pool with view; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants; Bar,https://www.agoda.com/mondial-hotel-hue/hotel/hue-vn.html,https://q-xx.bstatic.com/xdata/images/hotel/max500/844344464.jpg?k=9d0cafb3464421afcc27a61fd28dbd9a8c49de8f2a5b2dcb1177dd1475e87434&o=
70624,TTC Imperial Hotel,5.0,34,Hotel,Hue,Hue City,3593276,9.1,5787,92,"[10.0/10] Aida (Kazakhstan, Solo traveler): ""Staff was very friendly and helpful with issue of booking."" || [10.0/10] James (United States, Solo traveler): ""And the concierge, Mr. Van Duc, is attentive and friendly."" || [10.0/10] Loveleen (United Arab Emirates, Family with young children): ""Definitely recommend this hotel if you are visiting Hue.""",Free Wi-Fi ; Pool with view; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants; Bar,https://www.agoda.com/imperial-hotel-hue/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/70624/0/b15ff17a1c7c177a978586e1a0a178e6.jpg?ce=2
66751260,Elegant Hotel,0.0,34,Hotel,Hue,Hue City,816071,8.8,566,87,"[10.0/10] Ivan (Slovakia, Group): ""The rooms are tastefully furnished, clean, and comfortable."" || [10.0/10] Rutchel (Philippines, Group): ""The hotel was clean, comfortable, and in a great location."" || [10.0/10] Sophie (United States, Group): ""Nice room, clean, updated recently with comfortable beds.""",Free Wi-Fi ; Car park; Front desk [24-hour]; Restaurants; Airport transfer; Family room; Shared kitchen; Luggage storage,https://www.agoda.com/elegant-hotel/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/66751260/0/c93daab9fc4c4673f149815ef3c423dc.jpg?ce=2
91983217,Le Gia Homestay 2,4.0,108,NonHotel,Hue,Imperial Citadel,,7.2,4,,,Free Wi-Fi ; Free parking; Check-in/out [express]; Airport transfer; Shared kitchen; Luggage storage; Balcony/terrace; Garden,https://www.agoda.com/le-gia-homestay-2/hotel/all/huong-tra-vn.html,https://q-xx.bstatic.com/xdata/images/hotel/max500/900401239.jpg?k=360389f87eadf35c00a3b6f51f1cd3b2c51cfaedd5385b9c5f75d142904f85d1&o=
63990397,Amy Hotel Hue,0.0,34,Hotel,Hue,Hue City,359046,8.9,170,91,"[10.0/10] David (United States, Solo traveler): ""Its a clean place, with food in the room if needed."" || [10.0/10] Nina-Iris (Deutschland, Solo traveler): ""The location is perfect close to the riverfront,"" || [10.0/10] Amy (United States, Solo traveler): ""And the bathroom? Oh my... that was a GREAT BATHROOM! 😀.""",Free Wi-Fi ; Front desk [24-hour]; Restaurants; Bar; Airport transfer; Family room; Luggage storage; Breakfast takeaway service,https://www.agoda.com/amy-hotel-hue/hotel/huong-tra-vn.html,https://pix8.agoda.net/hotelImages/63990397/0/a86a036e57228a54a81e532bae16ed6f.jpg?ce=3
80171166,TN Hue Dorm,2.0,34,Hotel,Hue,Hue City,177812,8.5,72,,"[10.0/10] Anh (Vietnam, Solo traveler): ""Super clean & tidy, friendly staffs, good location."" || [10.0/10] Anh (Vietnam, Solo traveler): ""Highly recommend!!!"" || [10.0/10] Anh (Vietnam, Solo traveler): ""Highly recommend""",Front desk [24-hour]; Airport transfer; Family room; Room service; Tours; Rental car ; Smoke-free property; Air conditioning in public area,https://www.agoda.com/tn-hue-dorm/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/80171166/0/f70ef8221f435d28b480c7a99d4d1e3c.jpeg?ce=2
56301218,Hue Ancient Town Homestay,3.5,108,NonHotel,Hue,Hue City,537066,9.1,255,85,"[10.0/10] Thomas (United Kingdom, Group): ""Lovely place, clean and friendly staff, would 100% recommend"" || [9.6/10] James (United States, Solo traveler): ""Extremely cheap for all the service and quality you receive."" || [10.0/10] Quynh (Việt Nam, Couple): ""It seems like they care a lot ổn the details of this place.""",Beach; Free Wi-Fi ; Spa; Front desk [24-hour]; Airport transfer; Family room; Kitchen; Luggage storage,https://www.agoda.com/hue-ancient-town-homestay-h56301218/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/56301218/0/e109f31b1897b5f67b5f3ae5b74ebee5.jpg?ce=3
12774972,Sahi Homestay Retreat,4.5,108,NonHotel,Hue,Perfume River,760174,8.8,415,91,"[9.2/10] Carly (Malaysia, Family with young children): ""The kids particularly loved the mezzanine beds and pool,"" || [9.6/10] Hang (Vietnam, Solo traveler): ""A very nice place to heal my soul, with quiet and fresh air."" || [9.6/10] Lisa (Australia, Solo traveler): ""The pool was a welcome sight for a hot traveller.""",Free Wi-Fi ; Swimming pool; Free parking; Check-in [24-hour]; Massage; Airport transfer; Family room; Luggage storage,https://www.agoda.com/sahi-homestay-retreat/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/127/12774972/12774972_20021010220087965818.jpg?ca=10&ce=1
